Adjectives,Nouns,Nouns_Plural,Gerund_Verbs,Verbs,Prepositions,Articles,Human_Names,adverb_place,adverb,creature_noun,situation_phrase
Kind,Dominion,Otters,Plowing,Plow,Against,,Joseph,Inward,Eternally,Flamingo,With a Warrant
Lordly,Requiem,Ravens,Stinging,Sting,Without,,Sarah,Outward,Spookily,Raccoon,In Exile
Moronic,Asylum,Jaguars,Ripping,Rip,Within,,Thomas,Nowhere,Morbidly,Badger,On Vacation
Noopid,Nemesis,Cranes,Slamming,Slam,Along,,Karen,Everywhere,Gloriously,Platypus,Against Their Will
Galactic,Cataclysm,Badgers,Crushing,Crush,Following,,Charles,Forever,Technically,Narwhal,With a Mortgage
Astral,Paradox,Herons,Thrashing,Thras,Across,,Lisa,Aside,Absolutely,Capybara,In Contempt of Court
Phantom,Revolver,Cougars,Clawing,Claw,Behind,,Christopher,Backward,Secretly,Axolotl,On Probation
Synthetic,Torment,Pythons,Piercing,Pierce,Beyond,,Betty,Homebound,Publicly,Pangolin,With a Plan
Analog,Vendetta,Stallions,Howling,Howl,Near,,Daniel,Skyward,Strangely,Wombat,In Disguise
Grim,Uprising,Hornets,Rumbling,Rumble,Over,,Dorothy,Sunward,Weirdly,Tapir,On the Run
Greasy,Mayhem,Condors,Grinding,Grind,Since,,Matthew,,Perfectly,Bugbear,With Regrets
Galvanized,Siege,Wolverines,Thundering,Thunder,Until,,Sandra,,Totally,Otter,In Charge
Gaelic,Vertigo,Mustangs,Stalking,Stalk,Toward,,Anthony,,Rarely,Warlock,On Strike
Gross,Crucible,Marlins,Wrecking,Wreck,Upon,,Ashley,,Boldly,Crab,With Nothing to Lose
Grippy,Axiom,Pelicans,Surging,Surge,Beside,,Mark,,Bravely,Crow,In Distress
Stellar,Warpath,Caracals,Pounding,Pound,Among,,Emily,,Sharply,Raven,On a Crusade
Interstellar,Eclipse,Komodos,Charging,Charge,Outside,,Donald,,Roughly,,With an Alibi
Fractured,Avalanche,Crabs,Detonating,Detonate,Inside,,Donna,,Smoothly,,In Shambles
Savage,Gallows,Lobsters,Ravaging,Ravage,Except,,Steven,,Gently,,On Assignment
Wicked,Purgatory,Suns,Tearing,Tear,Past,,Michelle,,Sadly,,With a Conspiracy
Ancient,Warlock,Planets,Splitting,Split,,,Paul,,Joyfully,,In Recovery
Volatile,Abyss,Planetoids,Igniting,Ignite,,,Carol,,Dreadfully,,On a Rampage
Forsaken,Shrapnel,Black Holes,Devouring,Devour,,,Andrew,,Hauntingly,,Without a Clue
Reckless,Tombstone,Renegades,Colliding,Collide,,,Amanda,,Frantically,,In the Wrong Timeline
Infinite,Reckoning,Rebels,Snapping,Snap,,,Joshua,,Carelessly,,With Outstanding Warrants
Molten,Tyrant,Outlaws,Roaring,Roar,,,Melissa,,Instantly,,On a Fixed Income
Spectral,Devastation,Pencils,Twisting,Twist,,,Kenneth,,Constantly,,Against Medical Advice
Primal,Mirage,Swords,Hammering,Hammer,,,Deborah,,Magically,,In Between Jobs
Serene,Cipher,Logs,Scorching,Scorch,,,Kevin,,Metallicly,,With Unresolved Feelings
Hollow,Raven,Universe,Battering,Batter,,,Stephanie,,Chaotically,,On Borrowed Time
Luminous,Dagger,Recluse,Plunging,Plunge,,,Brian,,Badly,,
Shattered,Covenant,Kongs,Obliterating,Obliterate,,,Rebecca,,Barely,,
Turbulent,Oracle,Archers,Soothing,Soothe,,,George,,Bitterly,,
Ethereal,Threshold,Bugbears,Drifting,Drift,,,Sharon,,Bleakly,,
Relentless,Hollow,Manticores,Whispering,Whisper,,,Timothy,,Blindly,,
Cursed,Pilgrim,Gryphons,Glowing,Glow,,,Laura,,Boldly,,
One,Solace,Sleezebags,Floating,Float,,,Peewee,,Bravely,,
Two,Ember,Trees,Dreaming,Dream,,,Alvin,,Briefly,,
Three,Reverie,Goblins,Swaying,Sway,,,Abe,,Brightly,,
Four,Whisper,Orks,Humming,Hum,,,Louis,,Coldly,,
Five,Haven,Llamas,Fading,Fade,,,Beef,,Darkly,,
Six,Twilight,Alpacas,Wandering,Wander,,,Alfy,,Deeply,,
Seven,Lullaby,Hairdos,Shimmering,Shimmer,,,Rico,,Dimly,,
Eight,Drift,H'Orcs,Lingering,Linger,,,Fritz,,Fiercely,,
Nine,Elegy,Stonks,Flowing,Flow,,,Wray,,Finely,,
Ten,Specter,Criminals,Breathing,Breathe,,,Big Tony,,Freely,,
Eleven,Remnant,Birds,Awakening,Awaken,,,,,Grimly,,
Twelve,Earthquake,Ranchers,Blossoming,Blossom,,,,,Heavily,,
Thirteen,Dobro,Scumballs,Yearning,Yearn,,,,,Highly,,
Fourteen,Ex-Lover,Lightnings,Gliding,Glide,,,,,Lightly,,
Fifteen,Brat,Lowlifes,Murmuring,Murmur,,,,,Loudly,,
Sixteen,Geek,Men,Glimmering,Glimmer,,,,,Madly,,
Seventeen,Dork,Gentlemen,Mending,Mend,,,,,Proudly,,
Eighteen,Dirt,Machinery,Resting,Rest,,,,,Purely,,
Nineteen,Scuzz,Beef,Healing,Heal,,,,,Quietly,,
Twenty,Screetch,Backbiters,Glittering,Glitter,,,,,Sadly,,
Twenty-One,Abacus,Johns,Longing,Long,,,,,Sharply,,
Winsome,Beef,Riffraff,Sighing,Sigh,,,,,Slowly,,
Seraphic,Bologna,Vermin,Blooming,Bloom,,,,,Softly,,
Luminous,Brimstone,Rabble,Cradling,Cradle,,,,,Wildly,,
Halcyon,Chainsaw,Algorithms,Softening,Soften,,,,,,,
Fetching,Chalupa,Amplifiers,Unfolding,Unfold,,,,,,,
Sonorous,Cletus-Prime,Artifacts,Monkeying,Kick,,,,,,,
Blithesome,Corncob,Asteroids,Loafing,Punch,,,,,,,
Bootless,Crank,Cultists,Wasting,,,,,,,,
Quaint,Danger,Cyborgs,Faltering,,,,,,,,
Lonesome,Dirt,Dreadnoughts,,,,,,,,,
Loathesome,Doorknob,Drifters,,,,,,,,,
Criminal,Espionage,Droids,,,,,,,,,
Mild,Flapjack,Exiles,,,,,,,,,
Lively,Gargoyle,Firewalls,,,,,,,,,
Big,Gristle,Freelancers,,,,,,,,,
Little,Hambone,Frequencies,,,,,,,,,
Snarly,Hatchet,Glitches,,,,,,,,,
Neon,Hoax,Hackers,,,,,,,,,
Crimson,Jargon,Holograms,,,,,,,,,
Chrome,Laser,Mercenaries,,,,,,,,,
Amber,Lumber,Modules,,,,,,,,,
Electric,Macaroni,Monoliths,,,,,,,,,
Ultraviolet,Megabyte,Mutineers,,,,,,,,,
Red,Mongoose,Nomads,,,,,,,,,
Crimson,Mud,Paladins,,,,,,,,,
Orange,Mustard,Relics,,,,,,,,,
Amber,Piston,Rogues,,,,,,,,,
Yellow,Plankton,Scavengers,,,,,,,,,
Lime,Plywood,Servers,,,,,,,,,
Green,Porkchop,Sorcerers,,,,,,,,,
Emerald,Radish,Syndicates,,,,,,,,,
Teal,Ransom,Synths,,,,,,,,,
Cyan,Riptide,Templars,,,,,,,,,
Sky Blue,Rocketship,Comets,,,,,,,,,
Blue,Rooster,Constellations,,,,,,,,,
Navy,Scarecrow,Cosmonauts,,,,,,,,,
Indigo,Slingshot,Exoplanets,,,,,,,,,
Violet,Spatula,Galaxies,,,,,,,,,
Purple,Sprocket,Megastructures,,,,,,,,,
Magenta,Squeegee,Meteorites,,,,,,,,,
Pink,T-Bone,Orbiters,,,,,,,,,
Rose,T-Rex,Pulsars,,,,,,,,,
Coral,Toaster,Quasars,,,,,,,,,
Peach,Tractor,Satellites,,,,,,,,,
Lavender,Trout,Singularities,,,,,,,,,
Mint,Velociraptor,Starfighters,,,,,,,,,
Olive,Waffle,Supernovas,,,,,,,,,
Brown,Wrench,Wormholes,,,,,,,,,
Tan,Airlock,UFOs,,,,,,,,,
Gold,Antimatter,Fireflies,,,,,,,,,
Silver,Astronaut,Chonkers,,,,,,,,,
White,Biosphere,Dweebs,,,,,,,,,
Black,Centrifuge,Dingleberries,,,,,,,,,
Pearl,Continuum,Mothmen,,,,,,,,,
Mustard,Cosmos,,,,,,,,,,
Jet Black,Equinox,,,,,,,,,,
Onyx,Freighter,,,,,,,,,,
Opulescent,Gravity,,,,,,,,,,
,Holodeck,,,,,,,,,,
,Hyperdrive,,,,,,,,,,
,Meteor,,,,,,,,,,
,Nadir,,,,,,,,,,
,Nebula,,,,,,,,,,
,Orbit,,,,,,,,,,
,Parallax,,,,,,,,,,
,Payload,,,,,,,,,,
,Propulsion,,,,,,,,,,
,Quadrant,,,,,,,,,,
,Rover,,,,,,,,,,
,Shuttle,,,,,,,,,,
,Spacedock,,,,,,,,,,
,Stargate,,,,,,,,,,
,Starship,,,,,,,,,,
,Tachyon,,,,,,,,,,
,Teleporter,,,,,,,,,,
,Thruster,,,,,,,,,,
,Vacuum,,,,,,,,,,
,Zenith,,,,,,,,,,
,Chonk,,,,,,,,,,
,Chungus,,,,,,,,,,
,Yeti,,,,,,,,,,
,Sasquatch ,,,,,,,,,,
,Mothman,,,,,,,,,,
,Hodag,,,,,,,,,,
,Wendigo,,,,,,,,,,
,Pukwudgie,,,,,,,,,,
,Nessie,,,,,,,,,,
,Kraken,,,,,,,,,,
,Barghest,,,,,,,,,,
,Kelpie,,,,,,,,,,
